Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2020-10-23,15,7,3,288,42,6,17,4,3,3,4,0,2,2,10,3,10,5,0,9,4,0
2020-10-24,1,0,0,57,8,0,2,0,0,0,0,0,0,1,6,0,4,4,0,2,1,0
2020-10-25,3,3,1,57,8,1,3,0,1,0,1,0,0,1,1,0,0,3,1,1,5,0
2020-10-26,0,2,1,61,4,0,4,1,0,0,0,0,0,1,0,0,2,5,0,1,3,0
2020-10-27,2,5,0,54,5,0,4,0,0,0,1,0,0,2,0,1,1,3,0,6,4,0
2020-10-28,2,1,1,72,4,0,0,0,0,1,3,0,0,1,2,1,0,0,0,2,0,0
2020-10-29,3,1,0,68,8,8,0,0,0,0,0,0,0,0,2,3,3,0,1,0,3,0
2020-10-30,4,1,0,67,8,1,4,0,0,3,1,1,1,4,0,2,3,1,0,4,4,0
2020-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,5,0,1,148,21,2,3,0,0,1,0,0,0,1,3,2,2,1,1,10,3,0
2020-11-02,3,8,3,52,5,0,8,0,0,0,0,0,1,3,3,1,1,3,3,6,10,1
2020-11-03,2,0,1,89,8,0,6,0,1,0,0,0,0,0,0,3,1,1,0,6,1,0
2020-11-04,1,3,0,89,11,2,2,0,0,0,0,0,0,2,5,0,7,0,0,0,1,0
2020-11-05,1,4,3,92,7,0,2,0,0,0,1,0,0,0,2,0,2,6,0,0,1,0
2020-11-06,1,3,2,90,1,12,2,1,0,0,0,0,0,1,0,3,3,1,0,2,2,0
2020-11-07,10,5,5,37,7,3,21,2,1,4,0,1,1,1,0,2,4,1,1,1,17,0
2020-11-08,1,8,0,66,16,1,3,0,0,0,1,0,1,1,7,3,1,2,0,0,17,0
2020-11-09,9,5,4,59,10,5,5,1,3,0,2,3,0,2,1,6,4,3,3,0,5,0
2020-11-10,5,2,1,52,14,1,19,2,1,2,0,1,1,5,0,3,4,3,0,10,6,1
2020-11-11,5,0,2,71,14,2,3,5,1,2,0,1,5,2,3,4,0,0,0,6,7,2
2020-11-12,1,6,0,119,3,0,5,0,0,0,0,0,0,0,2,1,0,0,2,0,3,1
2020-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-14,8,14,4,145,31,9,21,2,2,1,5,2,0,5,4,6,10,5,6,5,10,1
2020-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-16,10,19,8,137,16,6,13,3,1,2,5,5,4,10,11,1,12,3,1,15,22,1
2020-11-17,1,6,6,89,21,4,4,1,0,1,0,0,1,3,6,4,2,5,1,1,3,0
2020-11-18,5,4,3,89,17,0,4,0,1,0,1,6,0,5,3,2,5,0,1,1,8,0
2020-11-19,6,4,1,114,9,0,3,0,0,0,0,3,0,1,8,0,2,3,1,2,3,0
2020-11-20,12,3,3,86,19,3,11,1,0,1,2,6,1,2,1,1,4,0,0,8,9,0
2020-11-21,4,8,2,99,4,4,8,0,2,0,3,4,5,2,11,5,7,2,1,2,8,0
2020-11-22,8,5,4,118,12,0,8,1,0,4,3,0,0,1,0,1,15,1,0,3,7,0
2020-11-23,11,1,0,124,11,1,2,2,0,4,0,5,1,1,1,1,5,4,0,9,6,1
2020-11-24,1,0,0,113,12,1,2,2,0,0,0,4,8,0,7,1,9,3,4,8,10,0
2020-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-26,5,3,2,275,17,2,10,1,0,2,3,14,0,8,7,7,4,2,2,2,11,0
2020-11-27,8,6,3,120,11,0,0,1,0,0,3,0,0,3,3,8,4,2,1,8,9,0
2020-11-28,2,7,8,106,4,2,14,0,0,0,0,7,2,5,1,4,8,9,0,6,6,0
2020-11-29,6,7,1,99,14,2,0,0,0,1,2,3,5,0,0,11,0,0,0,12,23,1
